Order Date,Forecast,Lower Bound,Upper Bound
2015-01-03,1464.2360500113277,-2771.6403058352776,5620.340502062088
2015-01-04,1130.2966475502813,-3018.116642955605,5641.241115254242
2015-01-05,930.0921872431719,-3363.0661400980553,5348.0161068083735
2015-01-06,1199.5322405753218,-3240.788185695891,5255.842388221222
2015-01-07,656.2437750723155,-3312.8511465990027,4792.3492230252405
2015-01-09,577.6607522028992,-3637.8425849446003,4698.488955591068
2015-01-10,970.5982490464335,-3259.1016746180408,5309.43688303055
2015-01-11,698.9937165026242,-3287.8293794554984,4980.012217306543
2015-01-13,905.2270121345384,-3058.49629602087,5283.69561068999
2015-01-14,433.744779220038,-3893.0788182893284,4468.910323732708
2015-01-15,-135.35753792692378,-4339.6825901980155,4068.893193075004
2015-01-16,497.83120516874874,-3410.4588213324782,4661.54109625871
2015-01-18,750.5137175537207,-3269.7790977514246,5262.492826472178
2015-01-19,675.0923028912554,-3457.1909283399596,4818.484986895797
2015-01-20,1065.620374488458,-3170.773211793459,5297.294499309297
2015-01-23,760.1624183824385,-3570.962853632718,5094.244879058396
2015-01-26,950.9845582019607,-3381.6597613506656,4815.544305235582
2015-01-27,1325.9462233518345,-3085.253291937317,5528.867689302127
2015-01-28,872.5448852812544,-2984.4751776190333,5317.691361294331
2015-01-30,920.5586122182668,-3346.036175849922,4860.3328802453525
2015-01-31,1348.1155772946965,-2880.5001699962195,5666.771223466093
2015-02-01,1091.3704154810507,-3147.8781013643643,5183.634995235072
2015-02-02,953.2781042405338,-3013.6217695844057,4680.308112420947
2015-02-03,1268.9399836607358,-3014.287506594226,5311.221369130187
2015-02-04,755.5530863996876,-3514.162254144731,5105.491334737857
2015-02-06,688.0471917854708,-3579.730450953355,4736.471336857506
2015-02-07,1063.254583051172,-3149.9427869815763,5379.237817990166
2015-02-08,759.7668036241474,-3472.26374724012,4729.708545479468
2015-02-11,330.08507659318315,-3745.4416407605795,4559.2395898675695
2015-02-12,-309.96808218484523,-5120.045434468377,3513.040890869447
2015-02-14,632.2518232316694,-3226.5362668291536,4711.806145854669
2015-02-15,348.60578780214837,-3768.4370484294036,4388.983762885531
2015-02-16,201.3228560082468,-3976.2082327891517,4347.675804347137
2015-02-17,526.2655397983604,-3623.283761417609,4647.825635062705
2015-02-18,40.96386788665154,-4165.978383312697,4153.726530890957
2015-02-20,85.18737522737075,-3947.1559665859277,4621.755473538425
2015-02-21,542.5320530882245,-3987.794012682906,4466.980840814272
2015-02-22,337.0048898159667,-4216.708447435648,4376.319361289526
2015-02-23,271.1718209654925,-4026.357396656982,4562.887768660888
2015-02-24,679.2547881363283,-3329.9761331919435,4828.116151718638
2015-02-27,480.90740495230557,-3596.379443081871,4730.343763869368
2015-03-01,872.7110221138007,-3280.4647864560493,4748.4113946552225
2015-03-02,865.9223614230327,-3339.782991720833,5070.4555954151265
2015-03-03,1324.1324901355806,-2934.0561731263783,5477.9136988475875
2015-03-04,962.2095144074076,-3227.764715314504,5147.913780378878
2015-03-05,492.46866080771497,-3768.6983230468873,4605.157180742577
2015-03-07,1751.4154081620286,-2815.2668310037634,6358.263758130198
2015-03-10,2016.5869035003036,-2202.6683955710814,6082.6641487483785
2015-03-11,1617.4971796562654,-2352.67936649523,5973.925197487787
2015-03-14,2242.9855665185464,-2253.0320445165903,6309.478055941973
2015-03-15,2031.5679351443448,-2186.9109020805345,6072.000780664203
2015-03-16,1936.2837104460352,-2371.1519304712656,6162.986469394011
2015-03-17,2292.078870384206,-1842.6644498612275,6581.98816453314
2015-03-18,1815.9647176741687,-2233.040264722832,5605.402260833771
2015-03-19,1222.5952289758784,-3033.5154814068037,5201.785945502462
2015-03-21,2215.967847281039,-1932.7440013604742,6368.806052951767
2015-03-22,1935.7921656025674,-2283.033181042,6248.767224818217
2015-03-23,1776.9525369045514,-2527.0184227564714,5803.777599996992
2015-03-24,2075.3811061829133,-2551.420242770966,6195.281920869913
2015-03-25,1548.904764957404,-2528.981720205069,5743.103109392987
2015-03-26,912.8086489338625,-3227.0639645700057,5285.747512530341
2015-03-28,1845.1879094224623,-2353.1350462949913,6027.884668217942
2015-03-29,1547.029045619279,-2488.944686849626,5516.830820272699
2015-03-30,1378.4153887878415,-2684.319315728872,5616.474214171676
2015-03-31,1674.950584192899,-2785.280718269456,5825.608452100573
2015-04-01,1153.9665867295932,-2747.051263236017,5026.960191728132
2015-04-02,530.1053107773322,-3689.5081634930984,4574.694448493697
2015-04-04,1503.998051622882,-2933.449601957436,5869.587384807665
2015-04-05,1233.294211363525,-3088.990582882143,5415.913297610435
2015-04-06,1095.2836405961486,-3111.041148357994,5131.600781323551
2015-04-07,1424.5465534865102,-2636.719814305562,5589.421278466033
2015-04-08,937.3958876796933,-2885.9507283518465,5117.7585821942075
2015-04-11,1385.9759580386121,-3028.470673024039,5399.929707079136
2015-04-12,1144.3058843249123,-3121.6637660509227,5831.958847790394
2015-04-13,1032.2549925821531,-3196.6877535443878,5078.348460794727
2015-04-15,915.1281809541947,-3440.222444997945,4986.045198171005
2015-04-16,339.39488281514525,-4085.2636687724807,4572.320591020908
2015-04-18,1393.333355741177,-2711.4525154639587,5394.9749673651095
